titulo,url,tipo,fechas,lugar
Talleres creativos en idioma serbio,/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Talleres-creativos-en-idioma-serbio/?vgnextfmt=default&vgnextoid=394cdaa14d721910VgnVCM2000001f4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD,CURSOS Y TALLERES,"Del domingo 22 de septiembre de 2024
al domingo 22 de junio de 2025",Biblioteca Pública Municipal Iván de Vargas (Centro). CENTRO
Tertulias en Inglés (infantil) Biblioteca Vallecas,/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Tertulias-en-Ingles-infantil-Biblioteca-Vallecas/?vgnextfmt=default&vgnextoid=eec46c112bc41910VgnVCM2000001f4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD,CURSOS Y TALLERES,"Del miércoles 25 de septiembre de 2024
al miércoles 11 de junio de 2025",Biblioteca Pública Municipal Vallecas (Puente de Vallecas). PUENTE DE VALLECAS
Club de lectura (infantil) Biblioteca David Gistau,/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Club-de-lectura-infantil-Biblioteca-David-Gistau/?vgnextfmt=default&vgnextoid=0c4bf9ea99e61910VgnVCM2000001f4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD,"CLUBES DE LECTURA, 
            
            CURSOS Y TALLERES","Del lunes 30 de septiembre de 2024
al lunes 9 de junio de 2025",Biblioteca Pública Municipal David Gistau (Salamanca). SALAMANCA
Taller de cómic (Infantil) Biblioteca Pozo del Tío Raimundo,/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Taller-de-comic-Infantil-Biblioteca-Pozo-del-Tio-Raimundo/?vgnextfmt=default&vgnextoid=fbc06ac373051910VgnVCM2000001f4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD,CURSOS Y TALLERES,"Del lunes 30 de septiembre de 2024
al lunes 2 de junio de 2025",Biblioteca Pública Municipal Pozo del Tío Raimundo (Puente de Vallecas). PUENTE DE VALLECAS
Club de lectura (infantil) Biblioteca San Fermín,/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Club-de-lectura-infantil-Biblioteca-San-Fermin/?vgnextfmt=default&vgnextoid=6304ee4e073b2910VgnVCM1000001d4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD,"CLUBES DE LECTURA, 
            
            CURSOS Y TALLERES","Del miércoles 2 de octubre de 2024
al miércoles 18 de junio de 2025",Biblioteca Pública Municipal San Fermín (Usera). USERA
Taller de ajedrez avanzado (Infantil-juvenil) Biblioteca Gabriel Gª Márquez,/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Taller-de-ajedrez-avanzado-Infantil-juvenil-Biblioteca-Gabriel-G-Marquez/?vgnextfmt=default&vgnextoid=3e7958cef3391910VgnVCM2000001f4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD,CURSOS Y TALLERES,"Del miércoles 2 de octubre de 2024
al miércoles 11 de junio de 2025",Biblioteca Pública Municipal Gabriel García Márquez (Usera). USERA
Taller de juegos (infantil) Biblioteca Francisco Ayala,/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Taller-de-juegos-infantil-Biblioteca-Francisco-Ayala/?vgnextfmt=default&vgnextoid=3bce32fa46a61910VgnVCM1000001d4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD,CURSOS Y TALLERES,"Del miércoles 2 de octubre de 2024
al miércoles 28 de mayo de 2025",Biblioteca Pública Municipal Francisco Ayala (Vicálvaro). VICALVARO
Ludoteca en Centro Sociocultural El Greco,/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Ludoteca-en-Centro-Sociocultural-El-Greco/?vgnextfmt=default&vgnextoid=4a5029ae67e9e810VgnVCM2000001f4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD,Sin tipo,"Del viernes 4 de octubre de 2024
al sábado 28 de junio de 2025",Centro Sociocultural El Greco (Latina). LATINA
Ludoteca en Centro Cultural José Luis Sampedro,/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Ludoteca-en-Centro-Cultural-Jose-Luis-Sampedro/?vgnextfmt=default&vgnextoid=88f129ae67e9e810VgnVCM2000001f4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD,Sin tipo,"Del viernes 4 de octubre de 2024
al sábado 28 de junio de 2025",Centro Cultural José Luis Sampedro (Latina). LATINA
Ludoteca en Centro Sociocultural Almirante Churruca,/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Ludoteca-en-Centro-Sociocultural-Almirante-Churruca/?vgnextfmt=default&vgnextoid=eb0e29ae67e9e810VgnVCM2000001f4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD,Sin tipo,"Del viernes 4 de octubre de 2024
al sábado 28 de junio de 2025",Centro Sociocultural Almirante Churruca (Latina). LATINA
Ludoteca en Centro Cultural Fernando de los Ríos,/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Ludoteca-en-Centro-Cultural-Fernando-de-los-Rios/?vgnextfmt=default&vgnextoid=c62cdfaf0ae9e810VgnVCM2000001f4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD,Sin tipo,"Del viernes 4 de octubre de 2024
al sábado 28 de junio de 2025",Centro Cultural Fernando de los Ríos (Latina). LATINA
Ludoteca en Centro Cultural Sara Montiel,/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Ludoteca-en-Centro-Cultural-Sara-Montiel/?vgnextfmt=default&vgnextoid=4f9000e8cdd9e810VgnVCM2000001f4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD,Sin tipo,"Del viernes 4 de octubre de 2024
al sábado 28 de junio de 2025",Centro Cultural Sara Montiel (Latina). LATINA
Ludoteca en Centro Cultural  Miguel Hernández,/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Ludoteca-en-Centro-Cultural-Miguel-Hernandez/?vgnextfmt=default&vgnextoid=424529ae67e9e810VgnVCM2000001f4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD,Sin tipo,"Del viernes 4 de octubre de 2024
al sábado 28 de junio de 2025",Centro Cultural Miguel Hernández (Latina). LATINA
